likesCount,ownerUsername,postUrl,text,timestamp,cleaned_comment,cleaned_comment_with_text_emojis,translated_comments
1.0,furkanpakatci,https://www.instagram.com/p/Cteied4osR5/,nE yaz ikeada mı😮,2023-06-14T18:19:20.000Z,ne yaz ikeada mı,ne yaz ikeada mı face open mouth,What summer in ikea?
1.0,2ladies1gentleman,https://www.instagram.com/p/Cteied4osR5/,@furkanpakatci Her gittiği yer de olay! 😱,2023-06-14T18:28:34.000Z,furkanpakatci gittiği yer de olay,furkanpakatci gittiği yer de olay face screaming fear,furkanpakatci is also an event where he goes
3.0,joao.pedromarques,https://www.instagram.com/p/CzL05zdNEp8/,O Tipo SW que eles vendem lá na Europa agora também podia vir para o Brasil,2023-11-03T13:03:47.000Z,tipo sw que eles vendem lá na europa agora também podium vir para brasil,tipo sw que eles vendem lá na europa agora também podium vir para brasil,type sw that they sell in europe now also podium come to brazil
2.0,ohpedroestevaooficial,https://www.instagram.com/p/CzL05zdNEp8/,"Eles não trouxeram simplesmente pq na época tinha o Renegade e provavelmente iria rolar conflito interno ou o 500x venderia menos,aí acabou q com o Renegade mais caro eles foram lá e criaram o Pulse",2023-11-03T13:10:41.000Z,eles não trouxeram simplesmente pq na época tinha renegade e provavelmente iria rolar conflito interno ou x venderia menos aí acabou q com renegade mais caro eles foram lá e criaram pulse,eles não trouxeram simplesmente pq na época tinha renegade e provavelmente iria rolar conflito interno ou x venderia menos aí acabou q com renegade mais caro eles foram lá e criaram pulse,"they didn't bring it simply because at the time there was a renegade and there would probably be an internal conflict or x would sell less, so with a more expensive renegade they went and created a pulse."
1.0,lucaskauan_amorim,https://www.instagram.com/p/CzL05zdNEp8/,"Nunca acreditei na desculpa da Fiat de que o 500x causaria conflito interno com o Renegade, visto que em outros países (inclusive sul americanos como Uruguai, Argentina) tem ambos os modelos 🤷🏽‍♂️",2023-11-03T13:17:10.000Z,nunca acreditei na desculpa da fiat de que x causaria conflito interno com renegade visto que em outros países inclusive sul americanos como uruguai argentina tem ambo o modelos,nunca acreditei na desculpa da fiat de que x causaria conflito interno com renegade visto que em outros países inclusive sul americanos como uruguai argentina tem ambo o modelos man shrugging medium skin tone,i never believed fiat's excuse that x would cause internal conflict with renegade since in other countries including south american ones like uruguay argentina they have both models
6.0,2punto_e_basta,https://www.instagram.com/p/CzL05zdNEp8/,"Fato! Esse carro tinha tudo nacionalizado, pronto pra ser feito em Pernambuco. Elevaria a imagem da Fiat com um SUV urbano de verdade, seguro, moderno e de design genuinamente italiano. Faria frente ao HRV e T-Cross sem problemas. A maior bola fora da última década foi a Fiat não ter trazido o 500x!",2023-11-03T13:45:23.000Z,fato esse carro tinha tudo nacionalizado pronto pra ser feito em pernambuco elevaria imagem da fiat com um suv urbano de verdade seguro moderno e de design genuinamente italiano faria frente ao hrv e cross sem problemas maior bola forum da última década foi fiat não ter trazido x,fato esse carro tinha tudo nacionalizado pronto pra ser feito em pernambuco elevaria imagem da fiat com um suv urbano de verdade seguro moderno e de design genuinamente italiano faria frente ao hrv e cross sem problemas maior bola forum da última década foi fiat não ter trazido x,fact this car had everything nationalised ready to be made in pernambuco it would raise fiat's profile with a real urban suv safe modern and with a genuinely italian design it would stand up to hrv and cross without any problems the biggest forum ball of the last decade was fiat not bringing in x
1.0,tipeiros_amor_e_dedicacao,https://www.instagram.com/p/CzL05zdNEp8/,Concordo plenamente......👏👏👏👏👏👏,2023-11-03T13:47:32.000Z,concordo plenamente,concordo plenamente clapping hand clapping hand clapping hand clapping hand clapping hand clapping hand,I completely agree
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,"@ohpedroestevao Sim, isso é de conhecimento público, haha. Mas a questão não é por que não trouxeram, só se fez falta ou não. E eu acho que fez, muita. Ainda mais pensando em todo o desgate que a Fiat teve, como marca, a partir dessa decisão 😉",2023-11-03T13:56:24.000Z,ohpedroestevao sim isso é de conhecimento público haha ma questão não é por que não trouxeram só se fez falta ou não e eu acho que fez muita ainda mais pensando em todo desgate que fiat teve como marca partir dessa decisão,ohpedroestevao sim isso é de conhecimento público haha ma questão não é por que não trouxeram só se fez falta ou não e eu acho que fez muita ainda mais pensando em todo desgate que fiat teve como marca partir dessa decisão winking face,"ohpedroestevao yes that's public knowledge haha but the question isn't why they didn't bring it back, it's just whether or not they missed it and I think they missed a lot, especially considering all the damage fiat has done as a brand as a result of that decision."
1.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,"@2punto_e_basta Concordo 100%, plenamente, absolutamente… 🤣",2023-11-03T13:57:12.000Z,punto e basta concordo plenamente absolutamente,punto e basta concordo plenamente absolutamente rolling floor laughing,punto and basta I absolutely agree
0.0,tresemeiopodcast,https://www.instagram.com/p/CzL05zdNEp8/,"@joao.pedromarques Seria bem legal mesmo, ainda mais considerando toda a história da Fiat com as peruas 💔",2023-11-03T13:57:50.000Z,joao pedromarques seria bem legal mesmo ainda mais considerando toda história da fiat com peruas,joao pedromarques seria bem legal mesmo ainda mais considerando toda história da fiat com peruas broken heart,"joao pedromarques it would be really cool, especially considering fiat's history with station wagons"
