video_id,view_count,like_count,dislike_count,comment_count
hu-nrF4Nhq0,144850,2083,0,107
Bg9R2iVSlMo,777087,16596,0,2099
LrkQrpqIC8k,99215,1540,0,83
E8KknfMKqXI,31348,253,0,11
oIqiTJ75wTY,662080,26,0,0
hJksZPtXdbE,194420,1600,0,251
pTq7j8H-NFc,30427,367,0,23
FskqgaMx7VA,142917,1139,0,206
k-lsTzXJvoI,644,14,0,0
M2mRQ808gIE,1481520,28266,0,2047
s1g5yD03afo,12922,184,0,12
xPtCTRne_j8,42109,326,0,31
IUeQT6n9hsc,7875,128,0,15
49wkq-VCwWg,38869,374,0,28
oDda75mIW5I,56315,461,0,17
YSd0EXwXFC0,33733,176,0,11
AmDhXCDLYiE,92386,558,0,23
qj5GVV1tHVA,16353,156,0,16
y_8tVf99zqY,21331,230,0,32
GzUv_i-b2Z8,8994,79,0,8
hNviNYzwEdM,1869,31,0,2
BxbeArNCbRU,1436,16,0,1
srQEyl8it2c,1682673,64530,0,1752
ZXoc1K6A67w,1612024,79212,0,100
qrvQzBRdzfI,7091,221,0,9
leZa05EUSvw,163115,2372,0,37
4jWyOkYRp_0,6261,25,0,3
AUMigwVL6Gw,52703,862,0,102
bIIqW_69aac,368777,2212,0,210
J8a1Tq8yy4I,151844,1610,0,139
cqmZ-DYnfI8,28965,243,0,24
eTrO3Ampjdc,16811,188,0,29
QPpj5U1UIZ8,862978,28987,0,85
OkTO5QqcyHg,911866,24872,0,164
m8vcIgb5qmU,16721,68,0,46
yGXHCIImqSQ,872259,12031,0,286
qoW6adfyGJM,541372,16471,0,128
syoofffjCIw,5643,75,0,3
bcExTRmRUxQ,113921,293,0,15
GQnLpnjCsig,64927,511,0,29
8LTuvdny2Ao,10681,142,0,3
PlWBk2Qlaas,211781,5115,0,167
bRGxXwtvYBU,336,2,0,0
OoNHk4MkZYQ,361712,5015,0,314
gwordzRYc30,149102,1279,0,162
JN4fUF0HBeg,49809,188,0,29
tqkI6I-OgOg,3301,33,0,2
sHLn3xwYr_Q,208056,5582,0,144
URiQ7JiQNq8,40367,0,0,0
OVOBkbYdR-k,666,21,0,1
URiQ7JiQNq8,40367,0,0,0
JrRWlDIu-y0,349540,6838,0,288
OoNHk4MkZYQ,361712,5015,0,314
x2ijXRGFvmY,16237,50,0,1
j1ZoVcc9dfc,121005,3581,0,16
p0Od0-msglY,70737,669,0,35
FV70yPp4d6Y,316,1,0,0
hGwO1rZn6UE,13620,52,0,0
8B40G5EzqlU,3301,46,0,6
